nzz;ta;blick;20min;baz;az;bund;luz;südost;weltwoche;woz;watson
143694099006529_1468744103168182;177194474660_10155094583239661;62562538918_10155157248038919;29396596956_10154052245961957;111236060676_10154127863560677;118231518201711_1419039044787612;178913512122277_1353067774706839;170815382956921_1769397863098657;149845148361826_1410875018925493;;;536723559736207_1334378236637398
143694099006529_1468556046520321;177194474660_10155094578224661;62562538918_10155157196488919;29396596956_10154051944066957;111236060676_10154125519320677;118231518201711_1419102508114599;178913512122277_1352975441382739;170815382956921_1769277316444045;149845148361826_1410186475661014;;;536723559736207_1321752804566608
143694099006529_1468472493195343;177194474660_10155094546704661;62562538918_10155157163548919;29396596956_10154049158111957;111236060676_10154125290055677;118231518201711_1419094018115448;178913512122277_1352335258113424;170815382956921_1768868789818231;149845148361826_1409985705681091;;;536723559736207_1333766116698610
143694099006529_1468466599862599;177194474660_10155094487484661;62562538918_10155157143593919;29396596956_10154051825801957;111236060676_10154125196790677;118231518201711_1419112734780243;178913512122277_1352236731456610;170815382956921_1768753973163046;149845148361826_1410178222328506;;;536723559736207_1321736491234906
143694099006529_1468458183196774;177194474660_10155094437114661;62562538918_10155156105463919;29396596956_10154049075926957;111236060676_10154124818270677;118231518201711_1418980628126787;178913512122277_1352159128131037;170815382956921_1768252623213181;149845148361826_1410179978994997;;;536723559736207_1310782002330355
143694099006529_1468408919868367;177194474660_10155094387549661;62562538918_10155156005158919;29396596956_10154049193291957;111236060676_10154123839615677;118231518201711_1418824424809074;178913512122277_1352074581472825;170815382956921_1768247079880402;149845148361826_1409981522348176;;;536723559736207_1331461456929076
143694099006529_1468363946539531;177194474660_10155094466829661;62562538918_10155155925568919;29396596956_10154049308056957;111236060676_10154123703740677;118231518201711_1418897928135057;178913512122277_1351606354852981;170815382956921_1767889726582804;149845148361826_1410182305661431;;;536723559736207_1331151176960104
143694099006529_1468324259876833;177194474660_10155094362979661;62562538918_10155155842298919;29396596956_10154049613371957;111236060676_10154123001480677;118231518201711_1418898868134963;178913512122277_1351425098204440;170815382956921_1767077203330723;149845148361826_1410138222332506;;;536723559736207_1310776565664232
143694099006529_1468298356546090;177194474660_10155094405244661;62562538918_10155155773668919;29396596956_10154049154451957;111236060676_10154122935140677;118231518201711_1418849798139870;178913512122277_1351192398227710;170815382956921_1766548836716893;149845148361826_1410076829005312;;;536723559736207_1310764568998765
143694099006529_1468290883213504;177194474660_10155094348459661;62562538918_10155155704643919;29396596956_10154049360136957;111236060676_10154122865665677;118231518201711_1418821668142683;178913512122277_1351192398227710;170815382956921_1766032080101902;149845148361826_1409179882428340;;;536723559736207_1329140500494505
143694099006529_1468283533214239;177194474660_10155094296649661;62562538918_10155155580033919;29396596956_10154049112526957;111236060676_10154122756145677;118231518201711_1418746581483525;178913512122277_1351166878230262;170815382956921_1765804340124676;149845148361826_1409963215683340;;;536723559736207_1329039363837952
143694099006529_1468221219887137;177194474660_10155094333854661;62562538918_10155155489793919;29396596956_10154049044331957;111236060676_10154122638090677;118231518201711_1418744824817034;178913512122277_1350643721615911;170815382956921_1765784410126669;149845148361826_1409942719018723;;;536723559736207_1329032410505314
143694099006529_1468198239889435;177194474660_10155094321559661;62562538918_10155155389853919;29396596956_10154049063506957;111236060676_10154122478865677;118231518201711_1418733194818197;178913512122277_1350405038306446;170815382956921_1764592013579242;149845148361826_1409934472352881;;;536723559736207_1321733591235196
143694099006529_1468135486562377;177194474660_10155094290704661;62562538918_10155155265278919;29396596956_10154048938601957;111236060676_10154121180145677;118231518201711_1418376484853868;178913512122277_1350385208308429;170815382956921_1764101250294985;149845148361826_1409884992357829;;;536723559736207_1328832173858671
143694099006529_1468115189897740;177194474660_10155094274409661;62562538918_10155155203658919;29396596956_10154048829406957;111236060676_10154120554175677;118231518201711_1418256354865881;178913512122277_1350326128314337;170815382956921_1764096853628758;149845148361826_1409163092430019;;;536723559736207_1328780367197185
143694099006529_1468095959899663;177194474660_10155094262244661;62562538918_10155155136588919;29396596956_10154046631061957;111236060676_10154120355625677;118231518201711_1418013508223499;178913512122277_1349836338363316;170815382956921_1764086226963154;149845148361826_1409154789097516;;;536723559736207_1328536240554931
143694099006529_1468086036567322;177194474660_10155092053614661;62562538918_10155155008273919;29396596956_10154046578546957;111236060676_10154120328780677;118231518201711_1418300388194811;178913512122277_1349581221722161;170815382956921_1764023043636139;149845148361826_1408860712460257;;;536723559736207_1328254807249741
143694099006529_1468019876573938;177194474660_10155092045339661;62562538918_10155154956963919;29396596956_10154046577526957;111236060676_10154120325180677;118231518201711_1418263058198544;178913512122277_1349544411725842;170815382956921_1763911396980637;149845148361826_1409165085763153;;;536723559736207_1326678764074012
143694099006529_1467987499910509;177194474660_10155091987324661;62562538918_10155154911988919;29396596956_10154046454966957;111236060676_10154120263760677;118231518201711_1418158734875643;178913512122277_1349487815064835;170815382956921_1763821776989599;149845148361826_1409147865764875;;;536723559736207_1327628343979054
143694099006529_1467955006580425;177194474660_10155091952369661;62562538918_10155154867858919;29396596956_10154046009276957;111236060676_10154120218020677;118231518201711_1417988998225950;178913512122277_1349401288406821;170815382956921_1763399347031842;149845148361826_1409149685764693;;;536723559736207_1327476697327552
143694099006529_1467852293257363;177194474660_10155091947494661;62562538918_10155154807473919;29396596956_10154045984101957;111236060676_10154120081705677;118231518201711_1417946738230176;178913512122277_1348985678448382;170815382956921_1763348927036884;149845148361826_1407861759226819;;;536723559736207_1327421033999785
143694099006529_1467412029968056;177194474660_10155091899274661;62562538918_10155154761558919;29396596956_10154045978591957;111236060676_10154117935375677;118231518201711_1417916081566575;178913512122277_1348879081792375;170815382956921_1763111227060654;149845148361826_1409156809097314;;;536723559736207_1327338987341323
143694099006529_1467388183303774;177194474660_10155092067784661;62562538918_10155154716803919;29396596956_10154045942081957;111236060676_10154116959295677;118231518201711_1417904364901080;178913512122277_1348851395128477;170815382956921_1762876493750794;149845148361826_1409145232431805;;;536723559736207_1326820827393139
143694099006529_1467339929975266;177194474660_10155091868739661;62562538918_10155154671908919;29396596956_10154045925406957;111236060676_10154116792860677;118231518201711_1417822311575952;178913512122277_1348536058493344;170815382956921_1762774327094344;149845148361826_1409161012430227;;;536723559736207_1326834257391796
143694099006529_1467332819975977;177194474660_10155091807229661;62562538918_10155154629043919;29396596956_10154043711951957;111236060676_10154116261410677;118231518201711_1417819968242853;178913512122277_1348097361870547;170815382956921_1762604797111297;149845148361826_1409167662429562;;;536723559736207_1321728314569057
143694099006529_1467300613312531;177194474660_10155091678179661;62562538918_10155154591733919;29396596956_10154043940171957;111236060676_10154116002265677;118231518201711_1417817994909717;178913512122277_1347991741881109;170815382956921_1762520863786357;149845148361826_1409048362441492;;;536723559736207_1326352264106662
143694099006529_1467291233313469;177194474660_10155091921184661;62562538918_10155154356733919;29396596956_10154043749976957;111236060676_10154116001485677;118231518201711_1417296278295222;178913512122277_1347933561886927;170815382956921_1762433877128389;149845148361826_1409088749104120;;;536723559736207_1326238304118058
143694099006529_1467287369980522;177194474660_10155091773674661;62562538918_10155154298848919;29396596956_10154043422156957;111236060676_10154115668455677;118231518201711_1417302934961223;178913512122277_1347790901901193;170815382956921_1762053770499733;149845148361826_1408911295788532;;;536723559736207_1326095454132343
143694099006529_1467251209984138;177194474660_10155092091629661;62562538918_10155153065768919;29396596956_10154043366536957;111236060676_10154114161335677;118231518201711_1417199788304871;178913512122277_1347701665243450;170815382956921_1761914940513616;149845148361826_1408993959113599;;;536723559736207_1325935724148316
143694099006529_1466976996678226;177194474660_10155091690014661;62562538918_10155152957258919;29396596956_10154043398216957;111236060676_10154110884570677;118231518201711_1417390658285784;178913512122277_1347643955249221;170815382956921_1761695907202186;149845148361826_1408944435785218;;;536723559736207_1325600974181791
143694099006529_1467169733325619;177194474660_10155091725649661;62562538918_10155152873168919;29396596956_10154043360251957;111236060676_10154110824255677;118231518201711_1417197408305109;178913512122277_1346924661987817;170815382956921_1761596917212085;149845148361826_1408915572454771;;;536723559736207_1325108817564340
143694099006529_1467151816660744;177194474660_10155091681789661;62562538918_10155152795578919;29396596956_10154043244341957;111236060676_10154110697885677;118231518201711_1417295298295320;178913512122277_1346814885332128;170815382956921_1761368213901622;149845148361826_1408871802459148;;;536723559736207_1324504284291460
143694099006529_1467150776660848;177194474660_10155091643869661;62562538918_10155152658003919;29396596956_10154041743046957;111236060676_10154109417655677;118231518201711_1417244568300393;178913512122277_1346265778720372;170815382956921_1761280077243769;149845148361826_1408871065792555;;;536723559736207_1325030580905497
143694099006529_1467143076661618;177194474660_10155091743514661;62562538918_10155152521813919;29396596956_10154041068006957;111236060676_10154108652860677;118231518201711_1417136584977858;178913512122277_1346113072068976;170815382956921_1760690570636053;149845148361826_1408869322459396;;;536723559736207_1324453007629921
143694099006529_1467097556666170;177194474660_10155091629974661;62562538918_10155152403738919;29396596956_10154041078376957;111236060676_10154108641630677;118231518201711_1417093258315524;178913512122277_1345937275419889;170815382956921_1760397147332062;149845148361826_1408842099128785;;;536723559736207_1324863800922175
143694099006529_1467095536666372;177194474660_10155091383159661;62562538918_10155152320483919;29396596956_10154040650206957;111236060676_10154108458790677;118231518201711_1417023481655835;178913512122277_1345394028807547;170815382956921_1760478793990564;149845148361826_1408775519135443;;;536723559736207_1324415654300323
143694099006529_1467081640001095;177194474660_10155091429369661;62562538918_10155152232808919;29396596956_10154040863216957;111236060676_10154108429850677;118231518201711_1416955521662631;178913512122277_1345269828819967;170815382956921_1760341390670971;149845148361826_1408823559130639;;;536723559736207_1324300380978517
143694099006529_1467076533334939;177194474660_10155091588564661;62562538918_10155152118978919;29396596956_10154040695841957;111236060676_10154108396335677;118231518201711_1416930804998436;178913512122277_1345203788826571;170815382956921_1760313734007070;149845148361826_1407631942583134;;;536723559736207_1323812551027300
143694099006529_1467073973335195;177194474660_10155091330844661;62562538918_10155152057363919;29396596956_10154040663341957;111236060676_10154108306530677;118231518201711_1416927608332089;178913512122277_1345165705497046;170815382956921_1760268744011569;149845148361826_1408755899137405;;;536723559736207_1321725904569298
143694099006529_1467063556669570;177194474660_10155091324279661;62562538918_10155151994933919;29396596956_10154040671506957;111236060676_10154108294085677;118231518201711_1416462565045260;178913512122277_1345089115504705;170815382956921_1760078847363892;149845148361826_1408757502470578;;;536723559736207_1321672291241326
143694099006529_1467060670003192;177194474660_10155091313419661;62562538918_10155151917083919;29396596956_10154040638076957;111236060676_10154108282920677;118231518201711_1416580628366787;178913512122277_1344738012206482;170815382956921_1759990690706041;149845148361826_1408746942471634;;;536723559736207_1323225584419330
143694099006529_1467057513336841;177194474660_10155091196529661;62562538918_10155151813653919;29396596956_10154040430846957;111236060676_10154105973300677;118231518201711_1416462305045286;178913512122277_1344524095561207;170815382956921_1759932470711863;149845148361826_1408091215870540;;;536723559736207_1322803264461562
143694099006529_1466929280016331;177194474660_10155091158239661;62562538918_10155151768288919;29396596956_10154038745001957;111236060676_10154104907025677;118231518201711_1416462145045302;178913512122277_1344304712249812;170815382956921_1759792950725815;149845148361826_1408616549151340;;;536723559736207_1322780791130476
143694099006529_1466918393350753;177194474660_10155091077134661;62562538918_10155151724983919;29396596956_10154038156596957;111236060676_10154104894815677;118231518201711_1416355631722620;178913512122277_1344294812250802;170815382956921_1758879610817149;149845148361826_1408010485878613;;;536723559736207_1322269164514972
143694099006529_1466813783361214;177194474660_10155089418654661;62562538918_10155151682853919;29396596956_10154038678896957;111236060676_10154104717350677;118231518201711_1416237325067784;178913512122277_1344220812258202;170815382956921_1758513130853797;149845148361826_1408008995878762;;;536723559736207_1322735391135016
143694099006529_1466712153371377;177194474660_10155089514754661;62562538918_10155151640623919;29396596956_10154038601841957;111236060676_10154103825680677;118231518201711_1416236141734569;178913512122277_1343882838958666;170815382956921_1758716450833465;149845148361826_1407948942551434;;;536723559736207_1322557164486172
143694099006529_1466486993393893;177194474660_10155089492054661;62562538918_10155151599073919;29396596956_10154038955316957;111236060676_10154103788345677;118231518201711_1416232785068238;178913512122277_1343782128968737;170815382956921_1758512404187203;149845148361826_1406728729340122;;;536723559736207_1322261991182356
143694099006529_1466465630062696;177194474660_10155089458189661;62562538918_10155151551803919;29396596956_10154038586346957;111236060676_10154103710195677;118231518201711_1416166091741574;178913512122277_1343600155653601;170815382956921_1758511307520646;149845148361826_1407947855884876;;;536723559736207_1322259451182610
143694099006529_1466428993399693;177194474660_10155089391219661;62562538918_10155151495148919;29396596956_10154038692896957;111236060676_10154103687600677;118231518201711_1415754678449382;178913512122277_1343476608999289;170815382956921_1758443690860741;149845148361826_1408015525878109;;;536723559736207_1321985594543329
143694099006529_1466401696735756;177194474660_10155089435829661;62562538918_10155151407463919;29396596956_10154038558846957;111236060676_10154103461000677;118231518201711_1415603998464450;178913512122277_1343030525710564;170815382956921_1758180317553745;149845148361826_1407946672551661;;;536723559736207_1321982984543590
143694099006529_1466353380073921;177194474660_10155089299774661;62562538918_10155151347848919;29396596956_10154038403031957;111236060676_10154103323610677;118231518201711_1415523391805844;178913512122277_1342884055725211;170815382956921_1758018040903306;149845148361826_1407857729227222;;;536723559736207_1321583044583584
143694099006529_1466245106751415;177194474660_10155088890064661;62562538918_10155151302378919;29396596956_10154038141871957;111236060676_10154103302460677;118231518201711_1415593531798830;178913512122277_1342823935731223;170815382956921_1757939887577788;149845148361826_1407932139219781;;;536723559736207_1313522898722932
143694099006529_1466213096754616;177194474660_10155088882329661;62562538918_10155151257853919;29396596956_10154038133236957;111236060676_10154103147195677;118231518201711_1415581995133317;178913512122277_1342759825737634;170815382956921_1757864354252008;149845148361826_1407588575920804;;;536723559736207_1321527144589174
143694099006529_1466026556773270;177194474660_10155088868854661;62562538918_10155149967043919;29396596956_10154038122431957;111236060676_10154101522775677;118231518201711_1415538281804355;178913512122277_1342727989074151;170815382956921_1757693544269089;149845148361826_1407650965914565;;;536723559736207_1321406044601284
143694099006529_1466103353432257;177194474660_10155088852729661;62562538918_10155149935618919;29396596956_10154038010066957;111236060676_10154101514760677;118231518201711_1415532181804965;178913512122277_1342202869126663;170815382956921_1757639860941124;149845148361826_1407739892572339;;;536723559736207_1321250627950159
143694099006529_1466029646772961;177194474660_10155088825484661;62562538918_10155149896088919;29396596956_10154033636846957;111236060676_10154100989255677;118231518201711_1415301751828008;178913512122277_1342028592477424;170815382956921_1756981794340264;149845148361826_1407853692560959;;;536723559736207_1320517601356795
143694099006529_1466022130107046;177194474660_10155088819424661;62562538918_10155149809903919;29396596956_10154033597321957;111236060676_10154100870565677;118231518201711_1415528741805309;178913512122277_1341653032514980;170815382956921_1756511311053979;149845148361826_1407741185905543;;;536723559736207_1320445191364036
143694099006529_1466030686772857;177194474660_10155088586044661;62562538918_10155149734398919;29396596956_10154033541436957;111236060676_10154100784265677;118231518201711_1415533265138190;178913512122277_1341234342556849;170815382956921_1755110077860769;149845148361826_1407727615906900;;;536723559736207_1320486974693191
143694099006529_1466012876774638;177194474660_10155088694909661;62562538918_10155149597478919;29396596956_10154030853061957;111236060676_10154100717670677;118231518201711_1415520645139452;178913512122277_1340792755934341;170815382956921_1755298864508557;149845148361826_1407632509249744;;;536723559736207_1310717139003508
143694099006529_1466012310108028;177194474660_10155088670929661;62562538918_10155149452158919;29396596956_10154034169546957;111236060676_10154100591795677;118231518201711_1415288538495996;178913512122277_1340608832619400;170815382956921_1756290181076092;149845148361826_1407701855909476;;;536723559736207_1320341668041055
143694099006529_1465944706781455;177194474660_10155088682814661;62562538918_10155149391598919;29396596956_10154033934426957;111236060676_10154100551990677;118231518201711_1415296108495239;178913512122277_1340495282630755;170815382956921_1755506217821155;149845148361826_1407649879248007;;;536723559736207_1320224131386142
143694099006529_1465915380117721;177194474660_10155088664704661;62562538918_10155149224368919;29396596956_10154030824121957;111236060676_10154100508550677;118231518201711_1415292275162289;178913512122277_1340443902635893;170815382956921_1754597064578737;149845148361826_1407682079244787;;;536723559736207_1320149898060232
143694099006529_1465894450119814;177194474660_10155088659424661;62562538918_10155149100473919;29396596956_10154033559341957;111236060676_10154100478420677;118231518201711_1415276151830568;178913512122277_1340418449305105;170815382956921_1754595024578941;149845148361826_1407629239250071;;;536723559736207_1319745998100622
143694099006529_1465867300122529;177194474660_10155088638239661;62562538918_10155149036783919;29396596956_10154030675376957;111236060676_10154100469235677;118231518201711_1414810745210442;178913512122277_1340025552677728;170815382956921_1755124834525960;149845148361826_1407579295921732;;;536723559736207_1319628828112339
143694099006529_1465768040132455;177194474660_10155088621139661;62562538918_10155148850733919;29396596956_10154030716026957;111236060676_10154100444965677;118231518201711_1414834888541361;178913512122277_1339939112686372;170815382956921_1755073534531090;149845148361826_1407626082583720;;;536723559736207_1310732119002010
143694099006529_1465458590163400;177194474660_10155088574664661;62562538918_10155148540913919;29396596956_10154030730056957;111236060676_10154099299565677;118231518201711_1414754731882710;178913512122277_1339828426030774;170815382956921_1754964567875320;149845148361826_1407577275921934;;;536723559736207_1319538564788032
143694099006529_1465454483497144;177194474660_10155088511284661;62562538918_10155148471333919;29396596956_10154030696576957;111236060676_10154098914730677;118231518201711_1414510775240439;178913512122277_1339600419386908;170815382956921_1754763071228803;149845148361826_1407567099256285;;;536723559736207_1310734499001772
143694099006529_1465385153504077;177194474660_10155088419964661;62562538918_10155148457008919;29396596956_10154031126431957;111236060676_10154098896415677;118231518201711_1414551678569682;178913512122277_1339106872769596;170815382956921_1754688441236266;149845148361826_1407471545932507;;;536723559736207_1319173318157890
143694099006529_1465342736841652;177194474660_10155088418334661;62562538918_10155148396973919;29396596956_10154031125491957;111236060676_10154098609885677;118231518201711_1414515111906672;178913512122277_1338995559447394;170815382956921_1754598957911881;149845148361826_1406727749340220;;;536723559736207_1318651744876714
143694099006529_1465246763517916;177194474660_10155088344114661;62562538918_10155148324093919;29396596956_10154031124236957;111236060676_10154098217485677;118231518201711_1414504105241106;178913512122277_1338922739454676;170815382956921_1753664471338663;149845148361826_1407422562604072;;;536723559736207_1313781852030370
143694099006529_1465207750188484;177194474660_10155086738624661;62562538918_10155148337453919;29396596956_10154031122936957;111236060676_10154098128420677;118231518201711_1414498291908354;178913512122277_1338855269461423;170815382956921_1753529244685519;149845148361826_1406892019323793;;;536723559736207_1313858388689383
143694099006529_1465196040189655;177194474660_10155086727749661;62562538918_10155148307673919;29396596956_10154031077666957;111236060676_10154098012615677;118231518201711_1414249078599942;178913512122277_1338791842801099;170815382956921_1753973564641087;149845148361826_1406965665983095;;;536723559736207_1313740645367824
143694099006529_1464965773546015;177194474660_10155086710964661;62562538918_10155148224188919;29396596956_10154030887321957;111236060676_10154097935965677;118231518201711_1414251995266317;178913512122277_1338397746173842;170815382956921_1753693151335795;149845148361826_1406817909331204;;;536723559736207_1316911905050698
143694099006529_1465157143526878;177194474660_10155086602189661;62562538918_10155148179668919;29396596956_10154030143326957;111236060676_10154097935570677;118231518201711_1414254535266063;178913512122277_1338139042866379;170815382956921_1753348691370241;149845148361826_1406790792667249;;;536723559736207_1316325145109374
143694099006529_1465025190206740;177194474660_10155086548764661;62562538918_10155148117953919;29396596956_10154030139621957;111236060676_10154096786195677;118231518201711_1414247818600068;178913512122277_1338073852872898;170815382956921_1753675774670866;149845148361826_1406789649334030;;;536723559736207_1316310691777486
143694099006529_1464963230212936;177194474660_10155086511979661;62562538918_10155148095588919;29396596956_10154030092011957;111236060676_10154095451670677;118231518201711_1414246745266842;178913512122277_1338033646210252;170815382956921_1753513171353793;149845148361826_1406850435994618;;;536723559736207_1313539502054605
143694099006529_1464904673552125;177194474660_10155086897244661;62562538918_10155148075643919;29396596956_10154030090691957;111236060676_10154095420915677;118231518201711_1414244145267102;178913512122277_1337727562907527;170815382956921_1753525511352559;149845148361826_1406746406005021;;;536723559736207_1315775491831006
143694099006529_1464902676885658;177194474660_10155086367114661;62562538918_10155148036253919;29396596956_10154030003861957;111236060676_10154092718840677;118231518201711_1414230398601810;178913512122277_1337691262911157;170815382956921_1753553238016453;149845148361826_1406618626017799;;;536723559736207_1315550038520218
143694099006529_1464810866894839;177194474660_10155086103779661;62562538918_10155148010608919;29396596956_10154029992131957;111236060676_10154092671450677;118231518201711_1414228841935299;178913512122277_1337649172915366;170815382956921_1753348071370303;149845148361826_1406788439334151;;;536723559736207_1315405745201314
143694099006529_1464805773562015;177194474660_10155086097854661;62562538918_10155146794153919;29396596956_10154028092881957;111236060676_10154091470705677;118231518201711_1414290795262437;178913512122277_1337446836268933;170815382956921_1753343914704052;149845148361826_1406659102680418;;;536723559736207_1315304658544756
143694099006529_1464667600242499;177194474660_10155085920459661;62562538918_10155146739478919;29396596956_10154028088566957;111236060676_10154091463135677;118231518201711_1414228145268702;178913512122277_1337279442952339;170815382956921_1753272814711162;149845148361826_1406652136014448;;;536723559736207_1313510605390828
143694099006529_1464452643597328;177194474660_10155085943829661;62562538918_10155146665488919;29396596956_10154028036911957;111236060676_10154090992125677;118231518201711_1414225501935633;178913512122277_1336913229655627;170815382956921_1753199904718453;149845148361826_1406739316005730;;;536723559736207_1314413718633850
143694099006529_1464217573620835;177194474660_10155086112354661;62562538918_10155146601553919;29396596956_10154027970056957;111236060676_10154090758935677;118231518201711_1414223301935853;178913512122277_1336844789662471;170815382956921_1753146441390466;149845148361826_1406599429353052;;;536723559736207_1314361081972447
143694099006529_1464158263626766;177194474660_10155085905714661;62562538918_10155146537953919;29396596956_10154027744186957;111236060676_10154090720840677;118231518201711_1414221865269330;178913512122277_1336772253003058;170815382956921_1753122291392881;149845148361826_1406654299347565;;;536723559736207_1314341685307720
143694099006529_1463933060315953;177194474660_10155085813889661;62562538918_10155146522393919;29396596956_10154027743031957;111236060676_10154090689685677;118231518201711_1414220098602840;178913512122277_1336652099681740;170815382956921_1752485204789923;149845148361826_1406653499347645;;;536723559736207_1314291771979378
143694099006529_1463918603650732;177194474660_10155086020374661;62562538918_10155146417023919;29396596956_10154027495606957;111236060676_10154090434980677;118231518201711_1414218415269675;178913512122277_1336567029690247;170815382956921_1752615344776909;149845148361826_1406624289350566;;;536723559736207_1313871442021411
143694099006529_1463875163655076;177194474660_10155086001224661;62562538918_10155146359863919;29396596956_10154027437826957;111236060676_10154090374515677;118231518201711_1413765041981679;178913512122277_1336100856403531;170815382956921_1752466268125150;149845148361826_1406651526014509;;;536723559736207_1313488255393063
143694099006529_1463821776993748;177194474660_10155085907589661;62562538918_10155145904548919;29396596956_10154027437266957;111236060676_10154090227825677;118231518201711_1413764535315063;178913512122277_1336034123076871;170815382956921_1752461714792272;149845148361826_1406627599350235;;;536723559736207_1313536668721555
143694099006529_1463824126993513;177194474660_10155085868309661;62562538918_10155146247338919;29396596956_10154027432531957;111236060676_10154090013990677;118231518201711_1413761861981997;178913512122277_1335871266426490;170815382956921_1752359221469188;149845148361826_1406598136019848;;;536723559736207_1313141038761118
143694099006529_1463800406995885;177194474660_10155085881994661;62562538918_10155146168118919;29396596956_10154025216826957;111236060676_10154090009235677;118231518201711_1413374932020690;178913512122277_1335831059763844;170815382956921_1752260284812415;149845148361826_1406610386018623;;;536723559736207_1312923688782853
143694099006529_1463666297009296;177194474660_10155085951939661;62562538918_10155146126478919;29396596956_10154025145851957;111236060676_10154088557845677;118231518201711_1413760485315468;178913512122277_1335809213099362;170815382956921_1752084811496629;149845148361826_1406608789352116;;;536723559736207_1312801955461693
143694099006529_1463777936998132;177194474660_10155085947339661;62562538918_10155146097133919;29396596956_10154025052576957;111236060676_10154088371855677;118231518201711_1413759451982238;178913512122277_1335331866480430;170815382956921_1752024541502656;149845148361826_1406572242689104;;;536723559736207_1312760285465860
143694099006529_1463674943675098;177194474660_10155085774339661;62562538918_10155146069588919;29396596956_10154025045401957;111236060676_10154088366245677;118231518201711_1413372418687608;178913512122277_1335237319823218;170815382956921_1751915851513525;149845148361826_1406544332691895;;;536723559736207_1312288552179700
143694099006529_1463663647009561;177194474660_10155085757114661;62562538918_10155146005618919;29396596956_10154025038031957;111236060676_10154088313485677;118231518201711_1413371285354388;178913512122277_1335142219832728;170815382956921_1751809204857523;149845148361826_1406524969360498;;;536723559736207_1312668455475043
143694099006529_1463662657009660;177194474660_10155085692804661;62562538918_10155145948148919;29396596956_10154025030011957;111236060676_10154088307925677;118231518201711_1413369782021205;178913512122277_1335097323170551;170815382956921_1750889741616136;149845148361826_1406038142742514;;;536723559736207_1312575715484317
143694099006529_1463659783676614;177194474660_10155083857319661;62562538918_10155145896773919;29396596956_10154024710636957;111236060676_10154088304280677;118231518201711_1413364788688371;178913512122277_1335067946506822;170815382956921_1750861231618987;149845148361826_1406523659360629;;;536723559736207_1312273728847849
143694099006529_1463658173676775;177194474660_10155083419149661;62562538918_10155145781393919;29396596956_10154024701871957;111236060676_10154088170830677;118231518201711_1413339638690886;178913512122277_1335037336509883;170815382956921_1751089688262808;149845148361826_1406488472697481;;;536723559736207_1312260338849188
143694099006529_1463629357012990;177194474660_10155083840519661;62562538918_10155145682558919;29396596956_10154024698431957;111236060676_10154088113310677;118231518201711_1413345138690336;178913512122277_1335013929845557;170815382956921_1750863154952128;149845148361826_1406475536032108;;;536723559736207_1311759108899311
143694099006529_1463546233687969;177194474660_10155083815554661;62562538918_10155145634988919;29396596956_10154024697756957;111236060676_10154088084925677;118231518201711_1413340105357506;178913512122277_1334619069885043;170815382956921_1750864581618652;149845148361826_1405977449415250;;;536723559736207_1311490408926181
143694099006529_1463421083700484;177194474660_10155083310739661;62562538918_10155145545908919;29396596956_10154024547871957;111236060676_10154087992155677;118231518201711_1413340895357427;178913512122277_1334531789893771;170815382956921_1750758824962561;149845148361826_1406040119408983;;;536723559736207_1311340328941189
143694099006529_1462802387095687;177194474660_10155083789224661;62562538918_10155145509728919;29396596956_10154024530201957;111236060676_10154087851765677;118231518201711_1413339305357586;178913512122277_1334419789904971;170815382956921_1750679038303873;149845148361826_1406039282742400;;;536723559736207_1311043792304176
143694099006529_1462738787102047;177194474660_10155083763884661;62562538918_10155145470553919;29396596956_10154024490236957;111236060676_10154087721825677;118231518201711_1412996445391872;178913512122277_1334326703247613;170815382956921_1750518571653253;149845148361826_1405999116079750;;;536723559736207_1310343249040897
143694099006529_1462648053777787;177194474660_10155083695649661;62562538918_10155145426043919;29396596956_10154021600931957;111236060676_10154087594570677;118231518201711_1412205428804307;178913512122277_1334290223251261;170815382956921_1753550731350037;149845148361826_1405976726081989;;;536723559736207_1310604399014782
143694099006529_1462605420448717;177194474660_10155083648564661;62562538918_10155145343783919;29396596956_10154021597101957;111236060676_10154087584055677;118231518201711_1412303482127835;178913512122277_1334211076592509;170815382956921_1750452141659896;149845148361826_1406044532741875;;;536723559736207_1310267872381768
143694099006529_1462602710448988;177194474660_10155083624289661;62562538918_10155145243958919;29396596956_10154021181131957;111236060676_10154087562990677;118231518201711_1412292112128972;178913512122277_1333860386627578;170815382956921_1750387751666335;149845148361826_1406010049411990;;;536723559736207_1309934415748447
143694099006529_1462592167116709;177194474660_10155083569939661;62562538918_10155145202818919;29396596956_10154021163181957;111236060676_10154087551585677;118231518201711_1412257358799114;178913512122277_1333837606629856;170815382956921_1750278275010616;149845148361826_1405975836082078;;;536723559736207_1309685069106715
143694099006529_1462581090451150;177194474660_10155083323264661;62562538918_10155145146393919;29396596956_10154021058046957;111236060676_10154085751285677;118231518201711_1412213828803467;178913512122277_1333773646636252;170815382956921_1748835951821515;149845148361826_1405869599426035;;;536723559736207_1309114119163810
143694099006529_1462545237121402;177194474660_10155083295109661;62562538918_10155145124853919;29396596956_10154020691726957;111236060676_10154085616235677;118231518201711_1412139625477554;178913512122277_1333587909988159;170815382956921_1749458128425964;149845148361826_1405938119419183;;;536723559736207_1309019769173245
143694099006529_1462474707128455;177194474660_10155083022239661;62562538918_10155145108758919;29396596956_10154020662276957;111236060676_10154085197855677;118231518201711_1412112552146928;178913512122277_1333500133330270;170815382956921_1749482445090199;149845148361826_1405909862755342;;;536723559736207_1308992375842651
