nzz;ta;blick;20min;baz;az;bund;luz;südost;weltwoche;woz;watson
143694099006529_1510073992368526;177194474660_10155199140164661;62562538918_10155264099903919;29396596956_10154301332326957;111236060676_10154500170340677;118231518201711_1505372422820940;178913512122277_1590248290988785;170815382956921_1864144030290706;149845148361826_1447994268546901;38916537049_10154252319487050;193485802047_10155228096842048;536723559736207_1446231295452091
143694099006529_1509860012389924;177194474660_10155199101069661;62562538918_10155264040893919;29396596956_10154301180226957;111236060676_10154500132505677;118231518201711_1505317219493127;178913512122277_1590188590994755;170815382956921_1864078146963961;149845148361826_1447931955219799;38916537049_10154251946982050;193485802047_10155220602507048;536723559736207_1446155518793002
143694099006529_1509829462392979;177194474660_10155199098624661;62562538918_10155263027938919;29396596956_10154300794546957;111236060676_10154500108555677;118231518201711_1505324336159082;178913512122277_1589707551042859;170815382956921_1864008376970938;149845148361826_1447930291886632;38916537049_10154252050367050;193485802047_10155220600957048;536723559736207_1446134315461789
143694099006529_1509767385732520;177194474660_10155199035024661;62562538918_10155262969683919;29396596956_10154300791706957;111236060676_10154500035735677;118231518201711_1504749629549886;178913512122277_1589668307713450;170815382956921_1863897993648643;149845148361826_1447865381893123;38916537049_10154236882612050;193485802047_10155217676042048;536723559736207_1446098502132037
143694099006529_1509764345732824;177194474660_10155199002544661;62562538918_10155262901728919;29396596956_10154300786941957;111236060676_10154500021415677;118231518201711_1504673382890844;178913512122277_1589343461079268;170815382956921_1863778643660578;149845148361826_1447452548601073;38916537049_10154236876352050;193485802047_10155217667632048;536723559736207_1446009852140902
143694099006529_1509715162404409;177194474660_10155198970559661;62562538918_10155262841793919;29396596956_10154300705296957;111236060676_10154499986560677;118231518201711_1504750876216428;178913512122277_1589127957767485;170815382956921_1863631120341997;149845148361826_1447855258560802;38916537049_10154236867437050;193485802047_10155202963397048;536723559736207_1445810925494128
143694099006529_1509657602410165;177194474660_10155198913724661;62562538918_10155262786003919;29396596956_10154299037826957;111236060676_10154499935885677;118231518201711_1504735539551295;178913512122277_1589071861106428;170815382956921_1863177723720670;149845148361826_1447845785228416;38916537049_10154236863412050;193485802047_10155202961867048;536723559736207_1445775755497645
143694099006529_1509652629077329;177194474660_10155198861269661;62562538918_10155262700148919;29396596956_10154299186841957;111236060676_10154499888410677;118231518201711_1504734496218066;178913512122277_1588659121147702;170815382956921_1863112103727232;149845148361826_1447149678631360;38916537049_10154236858402050;193485802047_10155202959282048;536723559736207_1445523385522882
143694099006529_1509595279083064;177194474660_10155198796124661;62562538918_10155262596463919;29396596956_10154299195956957;111236060676_10154499721715677;118231518201711_1504606676230848;178913512122277_1588389024508045;170815382956921_1862955547076221;149845148361826_1447464881933173;38916537049_10154234625037050;193485802047_10155201250792048;536723559736207_1444969268911627
143694099006529_1509582635750995;177194474660_10155197025039661;62562538918_10155262532283919;29396596956_10154298885026957;111236060676_10154498230890677;118231518201711_1504661689558680;178913512122277_1587951904551757;170815382956921_1862768183761624;149845148361826_1447394338606894;38916537049_10154225553902050;193485802047_10155201244612048;536723559736207_1444962808912273
143694099006529_1509571885752070;177194474660_10155196237859661;62562538918_10155262447878919;29396596956_10154298876906957;111236060676_10154497580250677;118231518201711_1504640506227465;178913512122277_1587944087885872;170815382956921_1862801830424926;149845148361826_1447432325269762;38916537049_10154225547577050;193485802047_10155201238437048;536723559736207_1445142255560995
143694099006529_1509557052420220;177194474660_10155197281299661;62562538918_10155262337793919;29396596956_10154298873096957;111236060676_10154497321645677;118231518201711_1504576732900509;178913512122277_1587925394554408;170815382956921_1862670857104690;149845148361826_1447416698604658;38916537049_10154218730972050;193485802047_10155197376667048;536723559736207_1444940682247819
143694099006529_1509543369088255;177194474660_10155197104749661;62562538918_10155262272008919;29396596956_10154298849716957;111236060676_10154497309745677;118231518201711_1504506396240876;178913512122277_1587500551263559;170815382956921_1862633520441757;149845148361826_1447416151938046;38916537049_10154218727712050;193485802047_10155189452877048;536723559736207_1444931238915430
143694099006529_1509518919090700;177194474660_10155196968099661;62562538918_10155262173048919;29396596956_10154298847896957;111236060676_10154497222925677;118231518201711_1504462756245240;178913512122277_1587436481269966;170815382956921_1862585100446599;149845148361826_1447410941938567;38916537049_10154218722472050;193485802047_10155189451222048;536723559736207_1444754455599775
143694099006529_1509492869093305;177194474660_10155196243234661;62562538918_10155262111958919;29396596956_10154298621306957;111236060676_10154497133995677;118231518201711_1504461136245402;178913512122277_1587394531274161;170815382956921_1862483510456758;149845148361826_1447346011945060;38916537049_10154218714472050;193485802047_10155179236117048;536723559736207_1444658002276087
